type,country,date_added,rating,duration,listed_in
Movie,United States of America,2021-09-25,PG-13,90 min,Documentaries
TV Show,South Africa,2021-09-24,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries"
TV Show,Unknown,2021-09-24,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
TV Show,Unknown,2021-09-24,TV-MA,1 Season,"Docuseries, Reality TV"
TV Show,India,2021-09-24,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies"
TV Show,Unknown,2021-09-24,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries"
Movie,Unknown,2021-09-24,PG,91 min,Children & Family Movies
Movie,Varios,2021-09-24,TV-MA,125 min,"Dramas, Independent Movies, International Movies"
TV Show,United Kingdom,2021-09-24,TV-14,9 Seasons,"British TV Shows, Reality TV"
Movie,United States of America,2021-09-24,PG-13,104 min,"Comedies, Dramas"
TV Show,Unknown,2021-09-24,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
TV Show,Unknown,2021-09-23,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure"
Movie,Varios,2021-09-23,TV-MA,127 min,"Dramas, International Movies"
Movie,Unknown,2021-09-22,TV-PG,91 min,"Children & Family Movies, Comedies"
TV Show,Unknown,2021-09-22,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
TV Show,United States of America,2021-09-22,TV-MA,4 Seasons,"TV Comedies, TV Dramas"
Movie,Unknown,2021-09-22,TV-MA,67 min,"Documentaries, International Movies"
TV Show,Mexico,2021-09-22,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas"
Movie,Unknown,2021-09-22,TV-14,94 min,Thrillers
TV Show,Unknown,2021-09-22,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
TV Show,Unknown,2021-09-22,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
